,title,view_count,like_count,duration,title_length,giveaway
188,"Donating $100,000 To A Random Fortnite Streamer",51312852,1088890,1382.0,47,1
189,Moving 10 Pounds Using ONLY Sound,44075994,1200628,826.0,33,0
190,Returning Destroyed Rental Cars Prank,35742719,606794,630.0,37,0
191,"I Gave My 6,000,000th Subscriber 6,000,000 ____",17426597,396050,1113.0,47,0
192,"Can 1,000 Fans At Max Speed Push A Car?",27636996,613423,743.0,39,0
193,"I Donated $50,000 To Ninja - Fortnite",95245775,2125357,1322.0,37,1
194,I Ubered Random People In A Tank,29427810,866686,604.0,32,0
195,World's Hottest Substance Vs Coldest Substance,85582795,1587486,712.0,46,0
196,The Real Way Dinosaurs Went Extinct,27006642,752581,351.0,35,0
197,I Donated $1000 Every Time She Blinked - Fortnite Streamers,21159402,635087,946.0,59,1
198,I Built A Working Car Using Only LEGOS,72255833,1649189,750.0,38,0
199,Do Water Repellent Shoes Actually Work?,106956451,1591867,699.0,39,0
200,"We Drove 3,000 Miles For The World's Best Burger",51565655,1201796,926.0,48,0
201,"I Gave My 5,000,000th Subscriber 5,000,000 ______",11111458,293578,691.0,49,0
202,I Made Money Grow On Trees,17003868,433138,634.0,26,0
203,I Took Apart My Friends Car And Put It In His Room,15498331,312303,734.0,50,0
204,How Many Rubber Bands Does It Take To Snap A Safe?,36403906,909281,616.0,50,0
205,Pulling Cars Over Using A Toy Police Car,24227304,544742,816.0,40,0
206,"I Gave $500,000 To Random People",14678286,448918,903.0,32,1
207,How Many Toy Cars Does It Take To Pull A Real Car?,39980556,754674,708.0,50,0
208,"I Gave $20,000 To People From An Ice Cream Truck",14547504,346887,822.0,48,1
209,$10000 Ice Sculpture Vs Flame,23208126,500956,909.0,29,1
210,"Can 1,000 Rolls Of Duct Tape Stop A Car??",26312968,544486,623.0,41,0
211,Winning A Game Of Fortnite In The Middle Of The Ocean,30904653,785098,615.0,53,0
212,I Flew Using Only Balloons AND Leaf Blowers,32154036,654198,678.0,43,0
